word,score
oater,0.396889848812095
orate,0.396889848812095
roate,0.396889848812095
realo,0.3960259179265659
artel,0.3938660907127429
ratel,0.3938660907127429
taler,0.3938660907127429
aeros,0.39170626349892007
soare,0.39170626349892
retia,0.38971922246220303
terai,0.389719222462203
aster,0.3895464362850972
reast,0.3895464362850972
stear,0.3895464362850972
tares,0.3895464362850972
taser,0.3895464362850972
arets,0.38954643628509716
earst,0.38954643628509716
rates,0.38954643628509716
resat,0.38954643628509716
strae,0.38954643628509716
tears,0.38954643628509716
teras,0.38954643628509716
ariel,0.3888552915766738
raile,0.3888552915766738
lares,0.38868250539956806
laser,0.38868250539956806
reals,0.38868250539956806
arles,0.388682505399568
earls,0.388682505399568
laers,0.388682505399568
lears,0.388682505399568
rales,0.388682505399568
seral,0.388682505399568
reais,0.3845356371490281
aesir,0.38453563714902805
serai,0.38453563714902805
antre,0.3814254859611231
earnt,0.3814254859611231
neral,0.3805615550755939
toeas,0.3770194384449244
stoae,0.37701943844492436
raine,0.37641468682505397
nears,0.3762419006479482
reans,0.3762419006479482
earns,0.37624190064794816
nares,0.37624190064794816
aloes,0.37615550755939525
ocrea,0.3751187904967603
telia,0.37416846652267816
leats,0.37399568034557235
salet,0.37399568034557235
setal,0.37399568034557235
stela,0.37399568034557235
taels,0.37399568034557235
tales,0.37399568034557235
teals,0.37399568034557235
tesla,0.37399568034557235
caret,0.3729589632829374
recta,0.3729589632829374
carte,0.3729589632829373
carle,0.3720950323974082
recal,0.3720950323974082
lacer,0.37209503239740815
urate,0.37209503239740815
ureal,0.37123110151187905
alure,0.371231101511879
estro,0.37010799136069117
resto,0.37010799136069117
rotes,0.37010799136069117
tores,0.37010799136069117
roset,0.3701079913606911
torse,0.3701079913606911
oiler,0.3694168466522678
oriel,0.3694168466522678
reoil,0.3694168466522678
eorls,0.369244060475162
lores,0.369244060475162
orles,0.369244060475162
roles,0.369244060475162
soler,0.369244060475162
sorel,0.36924406047516195
oaten,0.36889848812095033
anole,0.36803455723542117
ceria,0.36794816414686826
erica,0.36794816414686826
areic,0.3679481641468682
oared,0.36786177105831536
oread,0.36786177105831536
acres,0.36777537796976245
cares,0.36777537796976245
escar,0.36777537796976245
acers,0.3677753779697624
carse,0.3677753779697624
races,0.3677753779697624
scrae,0.3677753779697624
serac,0.3677753779697624
leary,0.36760259179265653
rayle,0.36760259179265653
liter,0.3672570194384449
litre,0.3672570194384449
relit,0.3672570194384449
tiler,0.3672570194384449
aurei,0.3670842332613391
uraei,0.36708423326133904
aures,0.3669114470842333
ureas,0.3669114470842333
urase,0.36691144708423323
ursae,0.36691144708423323
laten,0.36587473002159826
tared,0.36570194384449245
dater,0.3657019438444924
derat,0.3657019438444924
rated,0.3657019438444924
pareo,0.3656155507559395
porae,0.3656155507559395
thrae,0.3653563714902808
rathe,0.3653563714902807
osier,0.365097192224622
alder,0.36483801295896323
arled,0.36483801295896323
lader,0.36483801295896323
haler,0.3644924406047516
aeons,0.3637149028077754
aiery,0.36345572354211664
apert,0.36345572354211664
apter,0.36345572354211664
ayrie,0.36345572354211664
pater,0.36345572354211664
peart,0.36345572354211664
petar,0.36345572354211664
prate,0.3634557235421166
trape,0.3634557235421166
ayres,0.3632829373650108
eyras,0.3632829373650108
sayer,0.3632829373650108
arsey,0.36328293736501077
resay,0.36328293736501077
years,0.36328293736501077
reist,0.36293736501079915
rites,0.36293736501079915
tiers,0.36293736501079915
tires,0.36293736501079915
tries,0.36293736501079915
resit,0.3629373650107991
stire,0.3629373650107991
lepra,0.3625917926565875
repla,0.3625917926565875
parle,0.3625917926565874
leirs,0.36207343412527
liers,0.36207343412527
riels,0.36207343412527
riles,0.36207343412527
siler,0.36207343412526993
slier,0.36207343412526993
noter,0.3619870410367171
toner,0.3619870410367171
ronte,0.361987041036717
trone,0.361987041036717
entia,0.3617278617710583
tenia,0.3617278617710583
tinea,0.3617278617710583
antes,0.3615550755939525
etnas,0.3615550755939525
nates,0.3615550755939525
neats,0.3615550755939525
stean,0.3615550755939525
stane,0.36155507559395245
morae,0.3612095032397408
enrol,0.3611231101511879
loner,0.3611231101511879
nerol,0.3611231101511879
aline,0.36086393088552915
anile,0.36086393088552915
elain,0.36086393088552915
liane,0.36086393088552915
aired,0.36069114470842334
deair,0.36069114470842334
elans,0.36069114470842334
lanes,0.36069114470842334
leans,0.36069114470842334
neals,0.36069114470842334
redia,0.36069114470842334
slane,0.36069114470842334
irade,0.3606911447084233
reads,0.36051835853131753
arsed,0.3605183585313175
dares,0.3605183585313175
dears,0.3605183585313175
eards,0.3605183585313175
rased,0.3605183585313175
sared,0.3605183585313175
coate,0.36043196544276457
hares,0.36017278617710585
hears,0.36017278617710585
rheas,0.36017278617710585
caner,0.35965442764578837
crena,0.35965442764578837
nacre,0.3596544276457883
rance,0.3596544276457883
armet,0.3590496760259179
ramet,0.3590496760259179
trema,0.3590496760259179
mater,0.35904967602591786
urena,0.3587904967602592
retag,0.35861771058315334
targe,0.35861771058315334
terga,0.35861771058315334
gater,0.3586177105831533
paire,0.35844492440604747
perai,0.35844492440604747
apers,0.3582721382289417
pears,0.3582721382289417
presa,0.3582721382289417
reaps,0.3582721382289417
apres,0.35827213822894166
asper,0.35827213822894166
pares,0.35827213822894166
prase,0.35827213822894166
rapes,0.35827213822894166
spaer,0.35827213822894166
lamer,0.3581857451403888
abore,0.35818574514038876
marle,0.35818574514038876
maerl,0.3581857451403887
